Research_ID,Source_Group_ID,Combined_Group
STATE-LEASE-001,https://srilankamirror.com/biz/prime-lands-the-few-nawala-property-under-ciaboc-scrutiny/,CG-STATE-LEASE-001
STATE-LEASE-002,https://ciaboc.gov.lk/media-centre/latest-news/1519-former-uda-director-general-and-former-director-lands-arrested-on-corruption-allegations,CG-STATE-LEASE-002
STATE-LEASE-003,https://www.parliament.lk/en/home/parliament-news/view/5287,CG-STATE-LEASE-003
STATE-LEASE-004,UNIQUE-STATE-LEASE-004,CG-STATE-LEASE-004
STATE-LEASE-005,UNIQUE-STATE-LEASE-005,CG-STATE-LEASE-005
STATE-LEASE-006,UNIQUE-STATE-LEASE-006,CG-STATE-LEASE-006
STATE-LEASE-007,UNIQUE-STATE-LEASE-007,CG-STATE-LEASE-007
STATE-LEASE-008,UNIQUE-STATE-LEASE-008,CG-STATE-LEASE-008
STATE-LEASE-009,UNIQUE-STATE-LEASE-009,CG-STATE-LEASE-009
STATE-LEASE-010,UNIQUE-STATE-LEASE-010,CG-STATE-LEASE-010
STATE-LEASE-011,UNIQUE-STATE-LEASE-011,CG-STATE-LEASE-011
STATE-LEASE-012,UNIQUE-STATE-LEASE-012,CG-STATE-LEASE-012
STATE-LEASE-013,UNIQUE-STATE-LEASE-013,CG-STATE-LEASE-013
STATE-LEASE-014,UNIQUE-STATE-LEASE-014,CG-STATE-LEASE-014
STATE-LEASE-015,UNIQUE-STATE-LEASE-015,CG-STATE-LEASE-015
STATE-LEASE-016,UNIQUE-STATE-LEASE-016,CG-STATE-LEASE-016
STATE-LEASE-017,UNIQUE-STATE-LEASE-017,CG-STATE-LEASE-017
STATE-LEASE-018,UNIQUE-STATE-LEASE-018,CG-STATE-LEASE-018
STATE-LEASE-019,UNIQUE-STATE-LEASE-019,CG-STATE-LEASE-019
STATE-LEASE-020,UNIQUE-STATE-LEASE-020,CG-STATE-LEASE-020
STATE-LEASE-021,UNIQUE-STATE-LEASE-021,CG-STATE-LEASE-021
STATE-LEASE-022,UNIQUE-STATE-LEASE-022,CG-STATE-LEASE-022
STATE-LEASE-023,UNIQUE-STATE-LEASE-023,CG-STATE-LEASE-023
STATE-LEASE-024,UNIQUE-STATE-LEASE-024,CG-STATE-LEASE-024
STATE-LEASE-025,UNIQUE-STATE-LEASE-025,CG-STATE-LEASE-025
STATE-LEASE-026,UNIQUE-STATE-LEASE-026,CG-STATE-LEASE-026
STATE-LEASE-027,https://www.parliament.lk/en/home/parliament-news/view/4148,CG-STATE-LEASE-027
STATE-LEASE-028,https://www.parliament.lk/en/home/parliament-news/view/4148,CG-STATE-LEASE-027
STATE-LEASE-029,https://auditorgeneral.gov.lk/web/images/audit-reports/upload/2017/State_Corp/Land-Reform-Commission---E.pdf,CG-STATE-LEASE-029
STATE-LEASE-030,https://auditorgeneral.gov.lk/web/images/audit-reports/upload/2019/state_corporation/2-xxi/Land-Reform-Commission---2019---E.pdf,CG-STATE-LEASE-030
STATE-LEASE-031,https://auditorgeneral.gov.lk/web/images/audit-reports/upload/2022/statecorperation/2-xxvi/Land-Reform-Commission--E.pdf,CG-STATE-LEASE-030
STATE-LEASE-032,https://auditorgeneral.gov.lk/web/images/audit-reports/upload/2022/statecorperation/2-xxvi/Land-Reform-Commission--E.pdf,CG-STATE-LEASE-030
STATE-LEASE-033,https://auditorgeneral.gov.lk/web/images/audit-reports/upload/2023/State-Corporations/2-XXIII/Land-Reform-Commission--E.pdf,CG-STATE-LEASE-030
STATE-LEASE-034,https://auditorgeneral.gov.lk/web/images/audit-reports/upload/2024/2-State_Corporations/2-XIII/Land--Reform--Commission--E.pdf,CG-STATE-LEASE-030
STATE-LEASE-035,https://auditorgeneral.gov.lk/web/images/audit-reports/upload/2023/min_dep/1-xi/Head286Land-Commissioner-Generals-DepartmentE.pdf,CG-STATE-LEASE-030
STATE-LEASE-036,https://auditorgeneral.gov.lk/web/images/audit-reports/upload/2023/min_dep/1-xi/Head286Land-Commissioner-Generals-DepartmentE.pdf,CG-STATE-LEASE-030
STATE-LEASE-037,https://www.cabinetoffice.gov.lk/cab/index.php?Itemid=49&dID=13608&id=16&lang=en&option=com_content&view=article,CG-STATE-LEASE-037
STATE-LEASE-038,https://www.dailymirror.lk/print/news-features/Otters-landed/131-194219,CG-STATE-LEASE-038
STATE-LEASE-039,https://www.dailymirror.lk/breaking-news/80-Club-land-and-building-taken-over-by-Govt-Divisional-Secretary/108-200214,CG-STATE-LEASE-039
STATE-LEASE-040,https://www.dailymirror.lk/news-features/Spotlight-on-Wandama-Demaliya-Forest-Govt-circular-puts-land-sale-project-inside-reserve-on-hold/131-305210,CG-STATE-LEASE-040
STATE-LEASE-041,https://auditorgeneral.gov.lk/web/images/audit-reports/upload/2023/Annual_report_2023/Annual-Report-2023-English-2024.12.24.pdf,CG-STATE-LEASE-041
STATE-LEASE-042,https://auditorgeneral.gov.lk/web/images/audit-reports/upload/2023/State-Corporations/2-xix/Sri-Lanka-Tourism-Development-Authority--E.pdf,CG-STATE-LEASE-042
STATE-LEASE-043,https://auditorgeneral.gov.lk/web/images/audit-reports/upload/2023/State-Corporations/2-xix/Sri-Lanka-Tourism-Development-Authority--E.pdf,CG-STATE-LEASE-042
STATE-LEASE-044,https://auditorgeneral.gov.lk/web/images/audit-reports/upload/2021/state_corporation/2-XXXIII/Land-Reform-Commission--E.pdf,CG-STATE-LEASE-030
STATE-LEASE-045,https://auditorgeneral.gov.lk/web/images/audit-reports/upload/2021/state_corporation/2-XXXIII/Land-Reform-Commission--E.pdf,CG-STATE-LEASE-030
STATE-LEASE-046,https://auditorgeneral.gov.lk/web/images/audit-reports/upload/2021/state_corporation/2-XXXIII/Land-Reform-Commission--E.pdf,CG-STATE-LEASE-030
STATE-LEASE-047,https://auditorgeneral.gov.lk/web/images/audit-reports/upload/2021/state_corporation/2-XXXIII/Land-Reform-Commission--E.pdf,CG-STATE-LEASE-030
STATE-LEASE-048,https://auditorgeneral.gov.lk/web/images/audit-reports/upload/2021/state_corporation/2-XXXIII/Land-Reform-Commission--E.pdf,CG-STATE-LEASE-030
STATE-LEASE-049,https://auditorgeneral.gov.lk/web/images/audit-reports/upload/2022/statecorperation/2-xxvi/Land-Reform-Commission--E.pdf,CG-STATE-LEASE-030
STATE-LEASE-050,https://auditorgeneral.gov.lk/web/images/audit-reports/upload/2022/statecorperation/2-xxvi/Land-Reform-Commission--E.pdf,CG-STATE-LEASE-030
STATE-LEASE-051,https://auditorgeneral.gov.lk/web/images/audit-reports/upload/2022/statecorperation/2-xxvi/Land-Reform-Commission--E.pdf,CG-STATE-LEASE-030
STATE-LEASE-052,https://auditorgeneral.gov.lk/web/images/audit-reports/upload/2023/State-Corporations/2-XXIII/Land-Reform-Commission--E.pdf,CG-STATE-LEASE-030
STATE-LEASE-053,https://auditorgeneral.gov.lk/web/images/audit-reports/upload/2024/2-State_Corporations/2-XIII/Land--Reform--Commission--E.pdf,CG-STATE-LEASE-030
STATE-LEASE-054,https://auditorgeneral.gov.lk/web/images/audit-reports/upload/2019/state_corporation/2-xxi/Land-Reform-Commission---2019---E.pdf,CG-STATE-LEASE-030
STATE-LEASE-055,https://www.sundaytimes.lk/191117/business-times/government-incurs-heavy-losses-in-state-land-lease-deals-377989.html,CG-STATE-LEASE-030
STATE-LEASE-056,https://www.sundaytimes.lk/191117/business-times/government-incurs-heavy-losses-in-state-land-lease-deals-377989.html,CG-STATE-LEASE-030
STATE-LEASE-057,https://www.sundaytimes.lk/191117/business-times/government-incurs-heavy-losses-in-state-land-lease-deals-377989.html,CG-STATE-LEASE-030
STATE-LEASE-058,https://www.sundaytimes.lk/191117/business-times/government-incurs-heavy-losses-in-state-land-lease-deals-377989.html,CG-STATE-LEASE-030
STATE-LEASE-059,https://www.sundaytimes.lk/191117/business-times/government-incurs-heavy-losses-in-state-land-lease-deals-377989.html,CG-STATE-LEASE-030
STATE-LEASE-060,https://auditorgeneral.gov.lk/web/images/audit-reports/upload/2023/min_dep/1-xi/Head286Land-Commissioner-Generals-DepartmentE.pdf,CG-STATE-LEASE-030
STATE-LEASE-061,https://auditorgeneral.gov.lk/web/images/audit-reports/upload/2023/min_dep/1-xi/Head286Land-Commissioner-Generals-DepartmentE.pdf,CG-STATE-LEASE-030
STATE-LEASE-062,https://auditorgeneral.gov.lk/web/images/audit-reports/upload/2023/min_dep/1-xi/Head286Land-Commissioner-Generals-DepartmentE.pdf,CG-STATE-LEASE-030
WEB-063,https://auditorgeneral.gov.lk/web/images/audit-reports/upload/2024/Annual_Report/Annual-Report-2024-English-Web_compressed.pdf,CG-WEB-063
WEB-064,https://auditorgeneral.gov.lk/web/images/audit-reports/upload/2024/Annual_Report/Annual-Report-2024-English-Web_compressed.pdf,CG-WEB-063
WEB-065,https://auditorgeneral.gov.lk/web/images/audit-reports/upload/2023/State-Corporations/2-XXXIV/Board-of-Investment-of-Sri-Lanka--E.pdf,CG-WEB-065
